Envelope,Filename,Language,category,include_in_network,PER_count,PER_stanza,PER_propagated,LOC_count,ORG_count,total_entities
S3,MITRO3-S3-DOC-001,Spanish,non_epistolary_authored,yes,7,6,1,32,13,52
S4,MITRO3-S4-DOC-001,English,non_epistolary_authored,yes,2,0,2,21,13,36
S5,MITRO3-S5-DOC-001,English,non_epistolary_collected,no,0,0,0,0,7,7
S6,MITRO3-S6-DOC-001,English,non_epistolary_authored,yes,2,0,2,20,7,29
S7,MITRO3-S7-DOC-001,English,institutional_letter,yes,0,0,0,4,14,18
S8,MITRO3-S8-DOC-001,English,institutional_letter,yes,0,0,0,0,3,3
S10,MITRO3-S10-CARTA-001,Spanish,institutional_letter,yes,7,7,0,4,2,13
S11,MITRO3-S11-CARTA-003,Spanish,institutional_letter,yes,5,4,1,2,5,12
S129,MITRO3-S129-CARTA-003,English,personal_letter,yes,1,0,1,3,3,7
S128,MITRO3-S128-CARTA-003,English,personal_letter,yes,2,0,2,4,3,9
S125,MITRO3-S125-CARTA-003,English,personal_letter,yes,2,0,2,1,1,4
S38,MITRO3-S38-CARTA-001,English,personal_letter,yes,3,0,3,0,0,3
S39,MITRO3-S39-CARTA-003,English,personal_letter,yes,2,0,2,0,0,2
S34,MITRO3-S34-CARTA-002,English,institutional_letter,yes,1,0,1,0,5,6
S35,MITRO3-S35-CARTA-003,English,personal_letter,yes,2,0,2,3,3,8
S37,MITRO3-S37-CARTA-003,English,personal_letter,yes,1,0,1,0,0,1
S42,MITRO3-S42-CARTA-003,English,personal_letter,yes,2,0,2,0,1,3
S48,MITRO3-S48-CARTA-003,English,personal_letter,yes,1,0,1,0,0,1
S52,MITRO3-S52-CARTA-003,English,personal_letter,yes,0,0,0,1,1,2
S130,MITRO3-S130-CARTA-002,English,personal_letter,yes,0,0,0,3,3,6
S131,MITRO3-S131-CARTA-003,English,personal_letter,yes,2,0,2,6,8,16
S132,MITRO3-S132-CARTA-003,English,personal_letter,yes,2,0,2,1,1,4
S133,MITRO3-S133-CARTA-001,English,personal_letter,yes,1,0,1,0,0,1
S134,MITRO3-S134-CARTA-003,English,personal_letter,yes,2,0,2,1,2,5
S135,MITRO3-S135-CARTA-001,English,personal_letter,yes,0,0,0,0,0,0
S139,MITRO3-S139-CARTA-001,English,personal_letter,yes,0,0,0,1,2,3
S150,MITRO3-S150-CARTA-003,English,personal_letter,yes,2,0,2,0,0,2
S151,MITRO3-S151-CARTA-003,English,personal_letter,yes,2,0,2,0,0,2
S157,MITRO3-S157-CARTA-003,English,personal_letter,yes,3,0,3,1,2,6
S157,MITRO3-S157-CARTA-005,English,personal_letter,yes,2,0,2,1,0,3
S157,MITRO3-S157-CARTA-006,English,personal_letter,yes,0,0,0,0,0,0
S157,MITRO3-S157-CARTA-008,English,personal_letter,yes,1,0,1,0,0,1
S157,MITRO3-S157-CARTA-007,English,personal_letter,yes,1,0,1,0,0,1
S158,MITRO3-S158-CARTA-003,English,personal_letter,yes,0,0,0,0,7,7
S159,MITRO3-S159-CARTA-003,English,personal_letter,yes,0,0,0,1,0,1
S160,MITRO3-S160-CARTA-001,English,personal_letter,yes,1,0,1,3,0,4
S161,MITRO3-S161-CARTA-003,English,personal_letter,yes,0,0,0,1,2,3
S162,MITRO3-S162-CARTA-001,English,personal_letter,yes,1,0,1,0,1,2
S163,MITRO3-S163-CARTA-001,English,personal_letter,yes,0,0,0,0,1,1
S164,MITRO3-S164-CARTA-001,English,personal_letter,yes,2,0,2,0,0,2
S171,MITRO3-S171-CARTA-003,English,personal_letter,yes,13,0,13,0,2,15
S172,MITRO3-S172-CARTA-003,English,personal_letter,yes,6,0,6,0,1,7
S173,MITRO3-S173-CARTA-003,Spanish,personal_letter,yes,19,18,1,5,0,24
S174,MITRO3-S174-CARTA-002,Spanish,personal_letter,yes,24,23,1,26,7,57
S174,MITRO3-S174-CARTA-010,Spanish,personal_letter,yes,36,32,4,12,4,52
S174,MITRO3-S174-CARTA-015,Spanish,personal_letter,yes,34,31,3,22,9,65
S175,MITRO3-S175-CARTA-002,Spanish,personal_letter,yes,6,5,1,24,5,35
S176,MITRO3-S176-CARTA-002,Spanish,personal_letter,yes,19,19,0,10,3,32
S177,MITRO3-S177-CARTA-002,Spanish,personal_letter,yes,16,16,0,13,2,31
S178,MITRO3-S178-CARTA-003,Spanish,personal_letter,yes,28,27,1,11,6,45
S179,MITRO3-S179-CARTA-003,Spanish,personal_letter,yes,78,74,4,35,8,121
S57,MITRO3-S57-CARTA-002,German,professional_letter,yes,0,0,0,0,3,3
S54A,MITRO3-S54-CARTA-003-,English,institutional_letter,yes,1,0,1,0,3,4
S54B,MITRO3-S54-CARTA-004,English,institutional_letter,yes,1,0,1,0,1,2
S59A,MITRO3-S59-CARTA-002,German,institutional_letter,yes,1,0,1,0,2,3
S59B,MITRO3-S59-CARTA-003,German,institutional_letter,yes,1,0,1,0,3,4
S60,MITRO3-S60-CARTA-002,German,institutional_letter,yes,1,0,1,0,2,3
S61,MITRO3-S61-CARTA-002,Spanish,personal_letter,yes,10,9,1,15,2,27
S62,MITRO3-S62-CARTA-001,Spanish,personal_letter,yes,4,4,0,2,2,8
S63,MITRO3-S63-CARTA-001,German,institutional_letter,yes,1,0,1,0,2,3
S68,MITRO3-S68-CARTA-003,German,personal_letter,yes,0,0,0,2,4,6
S72,MITRO3-S72-CARTA-003,German,personal_letter,yes,15,0,15,2,5,22
S73,MITRO3-S73-CARTA-002,German,personal_letter,yes,2,0,2,0,0,2
S76,MITRO3-S76-CARTA-003,German,personal_letter,yes,5,0,5,0,1,6
S77,MITRO3-S77-CARTA-001,German,personal_letter,yes,9,0,9,0,1,10
S78,MITRO3-S78-CARTA-003,German,personal_letter,yes,3,0,3,0,6,9
S79,MITRO3-S79-CARTA-001,German,personal_letter,yes,7,0,7,1,7,15
S80,MITRO3-S80-CARTA-003,German,personal_letter,yes,7,0,7,1,5,13
S81,MITRO3-S81-CARTA-003,German,personal_letter,yes,5,0,5,1,3,9
S82,MITRO3-S82-CARTA-003,German,personal_letter,yes,1,0,1,0,0,1
S83,MITRO3-S83-CARTA-003,German,personal_letter,yes,6,0,6,1,9,16
S84,MITRO3-S84-CARTA-002,German,personal_letter,yes,1,0,1,0,3,4
S87,MITRO3-S87-DOC-003,Spanish,personal_letter,yes,35,33,2,28,13,76
S88,MITRO3-S88-DOC-001,German,non_epistolary_collected,yes,0,0,0,4,0,4
S89,MITRO3-S89-CARTA-001,English,institutional_letter,yes,3,0,3,0,2,5
S90A,MITRO3-S90-CARTA-002,German,professional_letter,yes,3,0,3,0,0,3
S90B,MITRO3-S90-CARTA-003,German,institutional_letter,yes,0,0,0,0,3,3
S91,MITRO3-S91-CARTA-003,German,personal_letter,yes,1,0,1,3,0,4
S92,MITRO3-S92-CARTA-003,German,personal_letter,yes,2,0,2,0,5,7
S93,MITRO3-S93-CARTA-003,German,personal_letter,yes,0,0,0,2,0,2
S94,MITRO3-S94-CARTA-003,English,personal_letter,yes,1,0,1,2,1,4
S95,MITRO3-S95-CARTA-002,German,personal_letter,yes,0,0,0,0,1,1
S96,MITRO3-S96-CARTA-001,German,personal_letter,yes,0,0,0,1,3,4
S97,MITRO3-S97-CARTA-002,German,personal_letter,yes,0,0,0,2,1,3
S98A,MITRO3-S98-CARTA-002A,Spanish,personal_letter,yes,3,3,0,0,0,3
S98B,MITRO3-S98-CARTA-002B,Spanish,personal_letter,yes,2,2,0,0,0,2
S99,MITRO3-S99-CARTA-002,English,personal_letter,yes,0,0,0,1,0,1
S100,MITRO3-S100-CARTA-001,English,personal_letter,yes,1,0,1,0,1,2
S102,MITRO3-S102-CARTA-002,English,personal_letter,yes,1,0,1,0,2,3
S103,MITRO3-S103-CARTA-002,German,personal_letter,yes,0,0,0,1,0,1
S104,MITRO3-S104-CARTA-003,English,personal_letter,yes,2,0,2,0,2,4
S105,MITRO3-S105-CARTA-001,Spanish,personal_letter,yes,9,6,3,15,1,25
S106,MITRO3-S106-CARTA-001,Spanish,personal_letter,yes,7,7,0,5,1,13
S107,MITRO3-S107-CARTA-002,Spanish,personal_letter,yes,25,24,1,20,5,50
S108,MITRO3-S108-CARTA-001,German,personal_letter,yes,0,0,0,0,1,1
S185,MITRO3-S185-CARTA-003,German,personal_letter,yes,2,0,2,0,1,3
S109,MITRO3-S109-CARTA-001,German,personal_letter,yes,0,0,0,2,0,2
S110,MITRO3-S110-CARTA-003,Spanish,personal_letter,yes,15,14,1,18,0,33
S111,MITRO3-S111-CARTA-002,German,personal_letter,yes,2,0,2,1,1,4
S113,MITRO3-S113-CARTA-003,Spanish,personal_letter,yes,9,7,2,5,1,15
S114,MITRO3-S114-CARTA-003,Spanish,personal_letter,yes,4,3,1,3,6,13
S115,MITRO3-S115-CARTA-003,Spanish,personal_letter,yes,7,7,0,5,4,16
S116,MITRO3-S116-CARTA-003,Spanish,personal_letter,yes,7,6,1,2,2,11
S117,MITRO3-S117-CARTA-003,Spanish,personal_letter,yes,9,7,2,9,8,26
S118,MITRO3-S118-CARTA-003,Spanish,personal_letter,yes,6,6,0,2,2,10
S119,MITRO3-S119-CARTA-003,Spanish,personal_letter,yes,8,6,2,23,9,40
S120,MITRO3-S120-CARTA-003,Spanish,personal_letter,yes,6,4,2,10,7,23
S121,MITRO3-S121-CARTA-001,German,personal_letter,yes,0,0,0,0,0,0
S122A,MITRO3-S122-CARTA-003,Spanish,personal_letter,yes,11,8,3,9,2,22
S122B,MITRO3-S122-CARTA-006,Spanish,personal_letter,yes,2,2,0,0,1,3
S122C,MITRO3-S122-CARTA-007 ,Spanish,personal_letter,yes,9,8,1,16,4,29
S194,MITRO3-S194-CARTA-002,Spanish,personal_letter,yes,4,4,0,2,1,7
S195,MITRO3-S195-CARTA-003,Spanish,personal_letter,yes,11,10,1,5,0,16
S196A,MITRO3-S196-CARTA-004,English,institutional_letter,yes,2,0,2,0,9,11
S196B,MITRO3-S196-CARTA-003,English,institutional_letter,yes,2,0,2,0,11,13
S197,MITRO3-S197-CARTA-003,English,personal_letter,yes,3,0,3,1,0,4
S198,MITRO3-S198-CARTA-003,English,personal_letter,yes,4,0,4,1,5,10
S199,MITRO3-S199-CARTA-003,English,personal_letter,yes,4,0,4,1,1,6
S200,MITRO3-S200-CARTA-003,English,personal_letter,yes,5,0,5,2,3,10
S202,MITRO3-S202-CARTA-001,English,personal_letter,yes,8,0,8,17,1,26
S25A,MITRO3-S25-DOC-009,English,non_epistolary_collected,yes,0,0,0,0,10,10
S25B,MITRO3-S25-DOC-011,English,professional_letter,yes,3,0,3,1,5,9
S27,MITRO3-S27-DOC-001,Spanish,personal_letter,yes,40,38,2,16,12,68
S31,MITRO3-S31-CARTA-003,Spanish,institutional_letter,yes,11,9,2,11,8,30
S32,MITRO3-S32-DOC-001,English,non_epistolary_collected,yes,1,0,1,11,29,41
S40,MITRO3-S40-CARTA-001,Spanish,personal_letter,yes,22,20,2,18,4,44
S41,MITRO3-S41-CARTA-001,Spanish,personal_letter,yes,24,24,0,45,2,71
S43,MITRO3-S43-CARTA-003,German,personal_letter,yes,7,0,7,1,9,17
S44,MITRO3-S44-CARTA-002,Spanish,personal_letter,yes,9,8,1,6,0,15
S46A,MITRO3-S46-CARTA-002,German,institutional_letter,yes,2,0,2,0,4,6
S46B,MITRO3-S46-CARTA-003,German,institutional_letter,yes,2,0,2,0,0,2
S47,MITRO3-S47-CARTA-001,German,institutional_letter,yes,2,0,2,0,4,6
S50,MITRO3-S50-CARTA-001,Spanish,personal_letter,yes,21,21,0,6,3,30
S53,MITRO3-S53-CARTA-001,Spanish,personal_letter,yes,18,16,2,6,5,29
S55,MITRO3-S55-CARTA-003,Spanish,personal_letter,yes,9,8,1,6,3,18
S56,MITRO3-S56-CARTA-002,Spanish,personal_letter,yes,14,12,2,5,3,22
S58,MITRO3-S58-CARTA-002,Spanish,personal_letter,yes,2,2,0,1,0,3
S64A,MITRO3-S64-CARTA-002,Spanish,personal_letter,yes,2,2,0,4,0,6
S64B,MITRO3-S64-CARTA-002,Spanish,personal_letter,yes,3,3,0,6,2,11
S65,MITRO3-S65-CARTA-002,English,personal_letter,yes,0,0,0,1,1,2
S67,MITRO3-S67-CARTA-003,German,personal_letter,yes,9,0,9,3,8,20
